Abstract,PMID,Title,term_one,term_two
"Prolongation of the QTc interval may result in Torsade de Pointes, a ventricular arrhythmia. Numerous risk factors for QTc interval prolongation have been described, including the use of certain drugs. In clinical practice, there is much debate about the management of the risks involved. In this study, we quantified the effect of these risk factors on the length of the QTc interval.",29167918,Risk factors for QTc interval prolongation.,1,1
"Eyelash trichomegaly is defined as eyelashes which are found to be of increased length, thickness, and pigmentation. This unique finding can be present at birth as part of a variety of congenital syndromes or as a benign familial trait. There are also acquired conditions and drugs that are known to cause these changes. Case reports and clinical studies in the medical literature concerning eyelash trichomegaly were investigated and summarized to compile a comprehensive review of the etiology of eyelash trichomegaly. Previously published reviews and studies that report on the finding of increased generalized hair growth and which do not specifically mention eyelashes were not included. Trichomegaly of the eyelashes may occur as a key feature among rare congenital syndromes, develop in association with certain acquired diseases, or present as an intended or treatment-related adverse drug effect. Eyelash trichomegaly may be present from birth or manifest later in life in association with acquired diseases or drug therapy. The relevance of this finding may be benign, however eyelash trichomegaly in some individuals can be a symptom for immune dysfunction or a clinical measure of response to drug therapy.",22607279,"Eyelash trichomegaly: review of congenital, acquired, and drug-associated etiologies for elongation of the eyelashes.",1,1
"<b>Purpose:</b> The oral BCL-2 inhibitor venetoclax is an effective therapy for patients with relapsed/refractory (R/R) chronic lymphocytic leukemia (CLL), including disease with high-risk genomic features such as chromosome 17p deletion [del(17p)] or progressive disease following B-cell receptor pathway inhibitors.<b>Patients and Methods:</b> We conducted a comprehensive analysis of the safety of 400 mg daily venetoclax monotherapy in 350 patients with CLL using an integrated dataset from three phase I/II studies.<b>Results:</b> Median age was 66 years and 60% had del(17p). Patients had received a median of three prior therapies (range: 0-15); 42% previously received ibrutinib or idelalisib. Median duration of exposure to venetoclax was 16 months (0-56). In the pooled analysis, the most common adverse events (AE) of any grade were diarrhea (41%), neutropenia (40%), nausea (39%), anemia (31%), fatigue (28%), and upper respiratory tract infection (25%). The most common grade 3/4 AEs were neutropenia (37%), anemia (17%), and thrombocytopenia (14%). With the current 5-week ramp-up dosing, the incidence of laboratory TLS was 1.4% (2/166), none had clinical sequelae, and all of these patients were able to ramp-up to a daily dose of 400 mg. Grade 3/4 neutropenia was manageable with growth factor support and dose adjustments; the incidence of serious infections in these patients was 15%. Ten percent of patients discontinued venetoclax due to AEs and 8% died while on study, with the majority of deaths in the setting of disease progression.<b>Conclusions:</b> Venetoclax as a long-term continuous therapy is generally well tolerated in patients with R/R CLL when initiated with the current treatment algorithm. <i>Clin Cancer Res; 24(18); 4371-9. ©2018 AACR</i>.",29895707,Comprehensive Safety Analysis of Venetoclax Monotherapy for Patients with Relapsed/Refractory Chronic Lymphocytic Leukemia.,1,1
"Medicine use during pregnancy is common; however the safety of medicine use during pregnancy is largely unknown when a medicine comes to market. Electronic healthcare databases, including the Clinical Practice Research Datalink (CPRD), are increasingly being used for post-marketing surveillance in this field. The CPRD contains anonymised, longitudinal medical records routinely collected in primary care. Using CPRD data it is possible to identify medical records indicative of pregnancy, including pregnancy losses. Data on prescriptions issued can be used to determine maternal exposure and for about 80% of pregnancies it is possible to link the mother's medical record to the medical record of the child. Data in the medical records of the mother and child can then be used to identify adverse pregnancy outcomes, including congenital malformations. This paper describes some of the complexities involved in using CPRD data for pregnancy related research and discusses some of its strengths and limitations. ",24698192,The Clinical Practice Research Datalink for drug safety in pregnancy research: an overview.,1,1
"Numerous drugs have the potential to prolong the QT interval and may cause accidental cardiac arrest (torsades de pointes [TdP]). Women are at a higher risk than men for experiencing drug-induced TdP. Due to the lack of appropriate tools, few studies have investigated whether genetic differences between men and women have any effects on drug-induced proarrhythmia. Sex hormones are believed to play a predominant role in the induction of TdP. Recently, progress in induced pluripotent stem cell (iPSC) technologies has made it possible to utilize human iPSC-derived cardiomyocytes (hiPSC-CMs) to investigate the influence of both genetics and sex hormones on cardiac ion channel gene expression and cardiomyocyte function. In this study, we investigated genetic and hormonal effects on sex differences of drug-induced QT prolongation and TdP with hiPSC-CMs from healthy male and female donors. We found that despite batch variations in beating rates and field potential durations (FPD), female-derived hiPSC-CMs showed steeper slopes of FPD to interspike interval ratios and were more sensitive to IKr blocker-induced FPD prolongation. 17β-estradiol increased FPD and 5α-dihydrotestosterone shortened FPD, but the addition of sex hormones had limited effect on the responses of hiPSC-CMs to IKr blockades. The differential expression of KCNE1 gene and reduced repolarization reserve in female-derived hiPSC-CMs compared with male-derived hiPSC-CMs may partially explain why females are more susceptible to proarrhythmias. Human iPSC-CMs can be a useful new model to study mechanisms of sex differences in cardiomyocyte repolarization processes and aid in the prediction of drug-induced proarrhythmias in both men and women.",30247688,Sex-Related Differences in Drug-Induced QT Prolongation and Torsades de Pointes: A New Model System with Human iPSC-CMs.,1,1
"Although it has been well established that methadone use can result in prolonged QTc/torsades de pointes (TdP) and has been labeled as one of the main drugs that cause TdP, it is still prescribed indiscriminately, and several cases of methadone-associated TdP have been seen in our community.",26589717,Drug-induced torsades de pointes in an underserved urban population. Methadone: is there therapeutic equipoise?,1,1
"Topical salicylic acid is often used in dermatologic conditions because of its keratolytic, bacteriostatic, fungicidal, and photoprotective properties. The bioavailability of salicylic acid differs depending on the vehicle used and pH of transcellular fluids. Although rare, salicylic acid toxicity (salicylism) can occur from topical application. Physicians should be mindful of the potential for salicylism or even death from topically applied salicylic acid. ",24472429,A review of toxicity from topical salicylic acid preparations.,1,1
Postmarketing teratogen surveillance is essential and requires a data source that can reliably capture a wide range of congenital malformations. The UK General Practice Research Database (GPRD) may have the potential to be used for this kind of surveillance.,20701407,Identifying major congenital malformations in the UK General Practice Research Database (GPRD): a study reporting on the sensitivity and added value of photocopied medical records and free text in the GPRD.,1,1
To evaluate the safety of triptan therapy during pregnancy.,20132339,Triptan exposure during pregnancy and the risk of major congenital malformations and adverse pregnancy outcomes: results from the Norwegian Mother and Child Cohort Study.,1,1
"The actual prevalence of drug induced QTc prolongation in clinical practice is unknown. Our objective was to determine the occurrence and characteristics of drug-induced QT prolongation in several common clinical practices. Additionally, a subgroup of patients treated with dextropropoxyphene of particular interest for the regulatory authority was analysed.",26537523,Drug-Induced QTc Interval Prolongation: A Multicenter Study to Detect Drugs and Clinical Factors Involved in Every Day Practice.,1,1
"The antiretroviral drug lopinavir/ritonavir has been recently repurposed for the treatment of COVID-19. Its empirical use has been associated with multiple cardiac adverse reactions pertaining to its ancillary multi-channel blocking properties, vaguely characterized until now. We aimed to characterize qualitatively the cardiotoxicity associated with lopinavir/ritonavir in the setting of COVID-19. Spontaneous notifications of cardiac adverse drug reactions reported to the national Pharmacovigilance Network were collected for 8 weeks since March 1st 2020. The Nice Regional Center of Pharmacovigilance, whose scope of expertise is drug-induced long QT syndrome, analyzed the cases, including the reassessment of all available ECGs. QTc ≥ 500 ms and delta QTc > 60 ms from baseline were deemed serious. Twenty-two cases presented with 28 cardiac adverse reactions associated with the empirical use of lopinavir/ritonavir in a hospital setting. Most adverse reactions reflected lopinavir/ritonavir potency to block voltage-gated potassium channels with 5 ventricular arrhythmias and 17 QTc prolongations. An average QTc augmentation of 97 ± 69 ms was reported. Twelve QTc prolongations were deemed serious. Other cases were likely related to lopinavir/ritonavir potency to block sodium channels: 1 case of bundle branch block and 5 recurrent bradycardias. The incidence of cardiac adverse reactions of lopinavir/ritonavir was estimated between 0.3% and 0.4%. These cardiac adverse drug reactions offer a new insight in its ancillary multi-channel blocking functions. Lopinavir/ritonavir cardiotoxicity may be of concern for its empirical use during the COVID-19 pandemic. Caution should be exerted relative to this risk where lopinavir/ritonavir summary of product characteristics should be implemented accordingly.",33075384,Spontaneous reported cardiotoxicity induced by lopinavir/ritonavir in COVID-19. An alleged past-resolved problem.,1,1
"Background Citalopram and escitalopram can both induce dose-dependent QT prolongation. The risk of arrhythmia may be increased with concomitant use of other drugs that induce QT prolongation. Objective To evaluate the prevalence and impact of pharmacist interventions on the combination of citalopram or escitalopram with other drugs that induce QT prolongation. Setting A French hospital with 517 computerized beds. Method All cardiac adverse drug reactions (ADRs) related to citalopram or escitalopram reported to the French pharmacovigilance database (FPDB) were analyzed. Then, over a 6-month period, all computerized prescriptions including citalopram or escitalopram and drug-drug interactions (DDI) were analyzed by pharmacists using a computerized provider order entry system (DXCare<sup>®</sup>, Medasys). Results Only 27 cardiac ADRs related to citalopram or escitalopram were reported in the database. Among the 57,857 prescriptions and 2116 contraindicated DDIs (3.7 %) that were analyzed. 444 DDIs (0.8 %) were considered to be clinically relevant by pharmacists and physicians and 168 (i.e., approximately 30 %) were related to a combination including citalopram or escitalopram. Most of the prescriptions related to DDIs including citalopram or escitalopram were discontinued in response to a pharmacist intervention when initiated during the hospital stay. Conclusion A high number of hospital prescriptions including citalopram or escitalopram with another QT-prolonging drug occurred, highlighting the importance of involvement of clinical pharmacists in prevention of potential ADRs related to such contraindications.",30610545,Impact of hospital pharmacist interventions on the combination of citalopram or escitalopram with other QT-prolonging drugs.,1,1
"Approved drugs for attention deficit hyperactivity disorder (ADHD) in Spain are methylphenidate, lisdexamphetamine, atomoxetine and guanfacine. Due to adverse cardiovascular effects, mainly increased blood pressure and heart rate, its use in patients with known or undiagnosed heart disease may be controversial.",31676246,"[Recommendations of the Spanish Society of Paediatric Cardiology and Congenital Heart Disease as regards the use of drugs in attention deficit hyperactivity disorder in children and adolescents with a known heart disease, as well as in the general paediatric population: Position statement by the Spanish Paediatric Association].",1,1
"We compiled the major adverse events included in the Annual Research Reports of the Foundation for Growth Research published in and after 2000. We conducted a review of approximately 32,000 patients treated with growth hormone (GH) who subsequently developed leukemia and who were registered with the Foundation for Growth Research (from 1975 to December 31 1997). We performed a literature review and found that GH therapy was not associated with leukemia onset in patients with no risk factors for leukemia. We also reported the onset of diabetes mellitus (DM), scoliosis, and respiratory problems in patients with Prader-Willi syndrome who were treated with GH. Osteoporosis, Hashimoto thyroiditis, and hyperlipemia were relatively frequent complications of Turner syndrome (TS).",28516752,Growth Hormone Treatment and Adverse Events.,1,1
"The Cardiac Safety Research Consortium (CSRC) is a transparent, public-private partnership that was established in 2005 as a Critical Path Program and formalized in 2006 under a Memorandum of Understanding between the United States Food and Drug Administration and Duke University. Our continuing goal is to advance paradigms for more efficient regulatory science related to the cardiovascular safety of new therapeutics, both in the United States and globally, particularly where such safety questions add burden to innovative research and development. This White Paper provides a summary of discussions by a cardiovascular committee cosponsored by the CSRC and the US Food and Drug Administration (FDA) that initially met in December 2014, and periodically convened at FDA's White Oak headquarters from March 2015 to September 2016. The committee focused on the lack of information concerning the cardiac effects of medications in the premature infant and neonate population compared with that of the older pediatric and adult populations. Key objectives of this paper are as follows: Provide an overview of human developmental cardiac electrophysiology, as well as the electrophysiology of premature infants and neonates; summarize all published juvenile animal models relevant to drug-induced cardiac toxicity; provide a consolidated source for all reported drug-induced cardiac toxicities by therapeutic area as a resource for neonatologists; present drugs that have a known cardiac effect in an adult population, but no reported toxicity in the premature infant and neonate populations; and summarize what is not currently known about drug-induced cardiac toxicity in premature infants and neonates, and what could be done to address this lack of knowledge. This paper presents the views of the authors and should not be construed to represent the views or policies of the FDA or Health Canada.",29224642,Drug-induced cardiac abnormalities in premature infants and neonates.,1,1
"Cardiac repolarization abnormalities can be caused by a wide range of cardiac and non-cardiac compounds and may lead to the development of life-threatening Torsades de Pointes (TdP) ventricular arrhythmias. Drug-induced torsades de pointes is associated with unexpected and unexplained sudden cardiac deaths resulting in the withdrawal of several compounds in the past. To better understand the mechanism of such unexpected sudden cardiac deaths, the concept of repolarization reserve has recently emerged. According to this concept, pharmacological, congenital or acquired impairment of one type of transmembrane ion channel does not necessarily result in excessive repolarization changes because other repolarizing currents can take over and compensate. In this review, the major factors contributing to repolarization reserve are discussed in the context of their clinical significance in physiological and pathophysiological conditions including drug administration, genetic defects, heart failure, diabetes mellitus, gender, renal failure, hypokalaemia, hypothyroidism and athletes' sudden deaths. In addition, pharmacological support of repolarization reserve as a possible therapeutic option is discussed. Some methods for the quantitative estimation of repolarization reserve are also recommended. It is concluded that repolarization reserve should be considered by safety pharmacologists to better understand, predict and prevent previously unexplained drug-induced sudden cardiac deaths.",21545574,Cardiac ventricular repolarization reserve: a principle for understanding drug-related proarrhythmic risk.,1,1
"In vitro human ether-à-go-go related gene (hERG) inhibition assay alone might provide insufficient information to discriminate ""safe"" from ""dangerous"" drugs. Here, effects of multichannel inhibition on cardiac electrophysiology were investigated using a family of cardiac cell models (Purkinje (P), endocardial (Endo), mid-myocardial (M) and epicardial (Epi)). We found that: (1) QT prolongation alone might not necessarily lead to early afterdepolarization (EAD) events, and it might be insufficient to predict arrhythmogenic liability; (2) the occurrence and onset of EAD events could be a candidate biomarker of drug-induced arrhythmogenicity; (3) M cells are more vulnerable to drug-induced arrhythmias, and can develop early afterdepolarization (EAD) at slower pacing rates; (4) the application of quinidine can cause EADs in all cell types, while I<sub>NaL</sub> is the major depolarizing current during the generation of drug-induced EAD in P cells, I<sub>CaL</sub> is mostly responsible in other cell types; (5) drug-induced action potential (AP) alternans with beat-to-beat variations occur at high pacing rates in P cells. These results suggested that quantitative profiling of transmural and rate-dependent properties can be essential to evaluate drug-induced arrhythmogenic risks, and may provide mechanistic insights into drug-induced arrhythmias.",31811197,Transmural and rate-dependent profiling of drug-induced arrhythmogenic risks through in silico simulations of multichannel pharmacology.,0,0
"Different individuals may respond diversely to the same drug, in terms of efficacy and toxicity. Adverse drug reactions cause about 6% of all hospital admissions and account for up to 9% of hospitalization costs. Drug-induced skin injury (DISI) is the most common presentation of adverse drug reactions, ranging from maculopapular eruptions to severe adverse cutaneous drug reactions (SCARs) with mortality of up to 40%. Specific genetic polymorphisms confer susceptibility to different types of DISI. Identifying patients genetically at risk for SCARs is one of the goals of pharmacogenomics. In this article, the aspects of clinical dermatology relevant to the pharmacogenetics of DISI are reviewed. Many SCARs are now preventable, with consequent reduction of morbidity, mortality and healthcare costs. ",25823788,Role of dermatology in pharmacogenomics: drug-induced skin injury.,0,0
"Under-reporting of adverse drug events (ADEs) is a common issue across healthcare systems, and lack of integration with clinical workflow and systems are among the leading causes of this problem. We sought to describe the development of an ADEs reporting system within an EHR that represents user needs and captures relevant data. We compared periods before and after the implementation, and describe the corresponding reporting rates.",31438276,Adverse Drug Event Reporting Rates After the Implementation of an EHR Integrated Reporting System.,0,0
"Side effects, or the adverse effects of drugs, contain important clinical phenotypic information that may be useful in predicting novel or unknown targets of a drug. It has been suggested that drugs with similar side-effect profiles may share common targets. The diagnostic class, Major Depressive Disorder, is increasingly viewed as being comprised of multiple depression subtypes with different biological root causes. One 'type' of depression generating substantial interest today focuses on patients with high levels of inflammatory burden, indicated by elevated levels of C-reactive proteins (CRP) and pro-inflammatory cytokines such as interleukin 6 (IL-6). It has been suggested that drugs targeting the immune system may have beneficial effect on this subtype of depressed patients, and several studies are underway to test this hypothesis directly. However, patients have been treated with both anti-inflammatory and antidepressant compounds for decades. It may be possible to exploit similarities in clinical readouts to better understand the antidepressant effects of immune-related drugs.",27765060,Side effect profile similarities shared between antidepressants and immune-modulators reveal potential novel targets for treating major depressive disorders.,0,0
Data linkage of population administrative data is being investigated as a tool for pharmacovigilance in pregnancy in Australia. Records of prescriptions of known or suspected teratogens dispensed to pregnant women have been linked to a birth defects registry to determine if defects associated with medicine exposure can be detected.,20602344,Linking a pharmaceutical claims database with a birth defects registry to investigate birth defect rates of suspected teratogens.,0,0
"Adverse drug events (ADEs) as well as other preventable adverse events in the hospital setting incur a yearly monetary cost of approximately $3.5 billion, in the United States alone. Therefore, it is of paramount importance to reduce the impact and prevalence of ADEs within the healthcare sector, not only since it will result in reducing human suffering, but also as a means to substantially reduce economical strains on the healthcare system. One approach to mitigate this problem is to employ predictive models. While existing methods have been focusing on the exploitation of static features, limited attention has been given to temporal features.",30630486,A classification framework for exploiting sparse multi-variate temporal features with application to adverse drug event detection in medical records.,0,0
"Prenatal imaging has benefitted from rapid technological progress in the last ten years. Ultrasound remains the standard screening method for fetal malformations but can be hindered by the bony structure of the skull. In particular, it can be difficult to distinguish between white and grey matter. MRI is a useful complementary method for detecting brain malformations. In particular, MRI is necessary to detect associated malformations and to obtain a precise diagnosis when ultrasound examination shows ventricular dilation. MRI is taking an increasingly important place in the assessment and prognostication of extracranial malformations such as congenital diaphagmatic hernia. We reviewed 2885 fetal MRI examinations. Fetal computed tomography is gradually replacing plain maternal abdominal radiography. We examined 90 CT films for fetal bone malformations.",19445373,[MRI and fetal multidetector CT in the diagnosis of fetal malformations].,0,0
"Perinatology is a dynamically developing field of medicine. The progress of technology in recent decades has made it possible to recognize birth defects very early, including those which are lethal or genetically determined. In many clinical situations, it is no longer possible to work alone to reach a definitive diagnosis, plan treatment or predict the clinical course of the affected fetus/newborn. There is a need for teamwork, which ensures the proper, early care starting in the fetal period, not only in the delivery room or NICU. This paper discusses the ethical foundations of creating interdisciplinary teams, taking as an example the Interdisciplinary Team for Fetal Malformation at the Institute of Mother and Child in Warsaw, which has been active for 25 years, and presents how it works in practice. On the basis of the clinical cases that are examined, practical guidelines were formulated for both the work of medical teams and the way parents are informed about the clinical situation of their child and about sharing the care after the birth of the child. A document was also proposed with information on prenatal diagnosis, decisions made by the interdisciplinary team regarding the mother and child, as well as the conclusions resulting from discussions with parents.",31913140,[25 years of work: The Interdisciplinary Team for Fetal Malformation at the Institute of Mother and Child in Warsaw - from counselling to clinical ethics].,0,0
The aim of this study was to describe diagnoses and outcomes when women choose to continue a pregnancy despite detection of severe fetal anomaly.,27061422,Continuation of pregnancy despite a diagnosis of severe fetal anomaly: a retrospective French study.,0,0
"Patent ductus arteriosus (PDA) complicates the clinical course of preterm infants and increases the risk of adverse outcomes. Indomethacin has been the standard treatment to close a PDA but is associated with renal, gastrointestinal, and cerebral side effects. Ibuprofen has less effect on blood flow velocity to important organs.",31985838,Ibuprofen for the prevention of patent ductus arteriosus in preterm and/or low birth weight infants.,0,0
Systematic analyses of inflammatory bowel disease (IBD) drug-related side effects necessitating treatment cessation in large cohorts of patients with IBD are scarce. We aimed to assess the frequency and type of drug-related side effects requiring drug cessation in patients included in the Swiss IBD Cohort.,29384798,Frequency and type of drug-related side effects necessitating treatment discontinuation in the Swiss Inflammatory Bowel Disease Cohort.,0,0
To compare labor patterns in pregnancies affected by fetal anomalies to low-risk singletons.,31200392,The Impact of Fetal Anomalies on Contemporary Labor Patterns.,0,0
To evaluate the outcome of screening for structural malformations in twins and the outcome of screening for twin-twin transfusion syndrome (TTTS) among monochorionic twins through a number of ultrasound scans from 12 weeks' gestation.,17429797,"Detection of chromosomal abnormalities, congenital abnormalities and transfusion syndrome in twins.",0,0
"It is expected that the percentage of people >60 years of age will be 22% worldwide by the year 2050. Multi-morbidity and poly-pharmacy are common in individuals during old age, while adverse drug reactions are at least twice as common in the elderly compared to younger adults. Publications related to drug side effects are rather rare in this age group since most clinical trials exclude patients >75-80 years of age. Gastrointestinal adverse drug reactions studied in the elderly include non-steroidal anti-inflammatory drugs (NSAIDs) and anticoagulant-induced gastrointestinal tract mucosal injuries. Malabsorption, diarrhoea and constipation are common side effects of laxatives, antibiotics, anticholinergics and calcium channel blockers. Drug (amoxycilin/clavulanic acid, isoniazide, nitrofurantoin, diclifenac and methotrexate)-induced hepatotoxicity in the elderly is four times more common than in younger adults and may simulate almost all known liver disorders. Further clinical studies are needed to investigate gastrointestinal and hepatic side effects of drugs in elderly patients.",20227033,Gastrointestinal and liver side effects of drugs in elderly patients.,0,0
"Despite growing interest in the (therapeutic) use of intranasal oxytocin administration in children, the potential side-effects of intranasal oxytocin have remained largely unclear to date. The current study is the first double-blind randomized controlled trial to examine side-effects following single administration of oxytocin nasal spray in elementary school-aged children.",29915962,No side-effects of single intranasal oxytocin administration in middle childhood.,0,0
"In our daily clinical practice, we observe that patients who were informed about the probable side effects of any medication experience less side effects. For this reason, we decided to examine this in a systematic investigation.",30261406,Should patients be informed about the side effects of psychotropic drugs? According to us: Yes.,0,0
"The risk of adverse drug reactions increases in a polypharmacology setting. High-throughput drug screening with transcriptomics applied to human cells has shown that drugs have effects on several molecular pathways, and these affected pathways may be predictive proxy for adverse drug reactions. Depending on the way that different drugs may contribute to adverse drug reactions, different options may exist in the clinical setting. Here, we formulate a network framework to integrate the relationships between drugs, biological functions, and adverse drug reactions based on the high-throughput drug perturbation data from the Library of Integrated Network-Based Cellular Signatures (LINCS) project. We present network-based parameters that indicate whether a given reaction may be related to the effect of a single drug or to the combination of several drugs, as well as the relative risk of adverse drug reaction manifestation given a certain drug combination.",30658437,Network-Based Assessment of Adverse Drug Reaction Risk in Polypharmacy Using High-Throughput Screening Data.,0,0
"The Birth Defects Study To Evaluate Pregnancy exposureS (BD-STEPS) is a population-based, multi-Center case-control study of modifiable risk factors for selected birth defects in the United States. BD-STEPS is the second major research effort of the Centers for Birth Defects Research and Prevention, which extends and expands the initial research effort, the National Birth Defects Prevention Study (NBDPS).",25846741,Next steps for birth defects research and prevention: The birth defects study to evaluate pregnancy exposures (BD-STEPS).,0,0
"<b>Introduction</b>: Human pluripotent stem cells (hPSCs) are capable of differentiating into all types of cells in the body and so provide suitable toxicology screening systems even for hard-to-obtain human tissues. Since hPSCs can also be generated from differentiated cells and current gene editing technologies allow targeted genome modifications, hPSCs can be applied for drug toxicity screening both in normal and disease-specific models. Targeted hPSC differentiation is still a challenge but cardiac, neuronal or liver cells, and complex cellular models are already available for practical applications. <b>Areas covered</b>: The authors review new gene-editing and cell-biology technologies to generate sensitive toxicity screening systems based on hPSCs. Then the authors present the use of undifferentiated hPSCs for examining embryonic toxicity and discuss drug screening possibilities in hPSC-derived models. The authors focus on the application of human cardiomyocytes, hepatocytes, and neural cultures in toxicity testing, and discuss the recent possibilities for drug screening in a 'body-on-a-chip' model system. <b>Expert opinion</b>: hPSCs and their genetically engineered derivatives provide new possibilities to investigate drug toxicity in human tissues. The key issues in this regard are still the selection and generation of proper model systems, and the interpretation of the results in understanding <i>in vivo</i> drug effects.",30526128,Application of human pluripotent stem cells and pluripotent stem cell-derived cellular models for assessing drug toxicity.,0,0
"In the U.S., lung cancer accounts for 14% of cancer diagnoses and 28% of cancer deaths annually. Since no cure exists for advanced lung cancer, the main treatment goal is to prolong survival. Chemotherapy regimens produce side effects with different profiles. Coupling this with individual patient's preferred side effects could result in patient-centered choices leading to better treatment outcomes. There are apparently no previous studies of or tools for assessing and utilizing patient chemotherapy preferences in clinical settings. The long-term goal of the study was to facilitate patients' treatment choices for advanced-stage lung cancer. A primary aim was to determine how preferences for chemotherapy side effects relate to chemotherapy choices.",31455252,Patient preferences of chemotherapy treatment options and tolerance of chemotherapy side effects in advanced stage lung cancer.,0,0
